Unit Name,Lease Start,Lease End,Previous Lease Start,Previous Lease End,Previous Rent,Rent,Percent Difference,Dollar Difference,Status,Term,Tenant Transfer,Term_Days,Is_Month_To_Month,row_id,tenant_id,current_past_due,current_late_count,ever_conditions_applied,ever_overridden,screening_count,avg_satisfaction,resolved_rate,timely_rate,survey_count,work_order_count,avg_work_order_amount,resident_requested_count,Unit Type,bedrooms,bathrooms,sqft
1806,2020-06-01,2021-05-26,2020-05-31,2021-05-26,1500.0,0.0,-100.0,-1500.0,Renewed,11 mo 26 day,Yes,356.0,False,25,T0019,,,True,True,3.0,,,,,5.0,0.0,0.0,Unit Type 13,2.0,1.0,925.0
2401,2020-06-27,2021-06-26,2019-06-17,2020-06-26,1385.0,1395.0,0.72,10.0,Renewed,12 month,No,360.0,False,26,T0020,,,True,True,2.0,5.0,1.0,1.0,1.0,10.0,0.0,0.0,Unit Type 1,1.0,1.0,580.0
1706,2020-07-27,2021-07-26,2018-08-01,2020-07-26,2120.0,2130.0,0.47,10.0,Renewed,12 month,No,360.0,False,27,T0021,,,False,False,3.0,,,,,45.0,0.0,0.0,Unit Type 13,2.0,1.0,925.0
1801,2020-07-27,2021-07-26,,,,1360.0,,,Did Not Renew,12 month,No,360.0,False,28,T0022,,,True,True,4.0,5.0,1.0,1.0,1.0,20.0,0.0,0.0,Unit Type 1,1.0,1.0,580.0
1901,2020-07-27,2021-07-26,,,,1290.0,,,Did Not Renew,12 month,No,360.0,False,29,T0023,,,True,True,2.0,,,,,21.0,0.0,0.0,Unit Type 1,1.0,1.0,580.0
2101,2020-07-27,2021-07-26,2019-08-01,2020-07-26,1345.0,1350.0,0.37,5.0,Renewed,12 month,No,360.0,False,30,T0024,,,True,True,4.0,,,,,16.0,0.0,0.0,Unit Type 1,1.0,1.0,580.0
2506,2020-07-27,2021-07-26,2019-08-01,2020-07-26,2145.0,2150.0,0.23,5.0,Renewed,12 month,No,360.0,False,31,T0025,,,True,True,3.0,,,,,6.0,0.0,0.0,Unit Type 13,2.0,1.0,925.0
2405,2020-08-01,2021-07-31,2019-08-23,2020-07-31,1745.0,1745.0,0.0,0.0,Renewed,12 month,No,360.0,False,32,T0026,,,True,True,3.0,,,,,7.0,0.0,0.0,Unit Type 15,2.0,1.0,975.0
1605,2020-08-03,2021-08-26,2020-08-03,2021-07-26,1630.0,0.0,-100.0,-1630.0,Renewed,12 mo 24 day,Yes,384.0,False,33,T0027,,,False,False,3.0,,,,,12.0,0.0,0.0,Unit Type 15,2.0,1.0,975.0
1703,2020-08-03,2026-08-26,2020-08-03,2021-07-26,0.0,2200.0,,2200.0,Renewed,72 mo 24 day,Yes,2184.0,False,34,T0028,10.88,9.0,True,True,3.0,,,,,12.0,0.0,0.0,Unit Type 12,2.0,1.0,925.0
1402,2020-08-27,2021-08-26,2019-08-16,2020-08-26,1775.0,1800.0,1.41,25.0,Renewed,12 month,No,360.0,False,35,T0029,,,True,True,3.0,1.0,0.0,0.0,1.0,12.0,0.0,0.0,Unit Type 9,2.0,1.0,775.0
1406,2020-08-27,2021-08-26,2019-08-27,2020-08-26,2295.0,2300.0,0.22,5.0,Renewed,12 month,No,360.0,False,36,T0030,11.48,0.0,True,True,3.0,,,,,25.0,0.0,0.0,Unit Type 16,2.0,1.0,976.0
1804,2020-08-27,2021-08-26,2019-08-09,2020-08-26,1745.0,1750.0,0.29,5.0,Renewed,12 month,No,360.0,False,37,T0031,11.47,0.0,False,False,3.0,5.0,1.0,1.0,1.0,5.0,0.0,0.0,Unit Type 15,2.0,1.0,975.0
2405,2020-09-03,2022-05-05,2020-01-10,2021-12-26,0.0,1765.0,,1765.0,Renewed,20 mo 3 day,Yes,603.0,False,38,T0032,,,True,True,3.0,,,,,5.0,0.0,0.0,Unit Type 15,2.0,1.0,975.0
1807,2020-10-01,,2020-10-01,2021-04-26,0.0,0.0,,0.0,Renewed,Month To Month,Yes,,True,39,T0033,,,True,True,3.0,,,,,15.0,0.0,0.0,Unit Type 5,1.0,1.0,620.0
1902,2020-10-01,2021-10-10,2019-11-01,2020-10-26,0.0,1455.0,,1455.0,Renewed,12 mo 10 day,Yes,370.0,False,40,T0034,,,True,True,3.0,,,,,13.0,0.0,0.0,Unit Type 5,1.0,1.0,620.0
2106,2020-10-26,2023-10-26,2020-10-26,2021-10-26,0.0,0.0,,0.0,Renewed,36 mo 1 day,Yes,1081.0,False,41,T0035,,,True,True,3.0,,,,,4.0,0.0,0.0,Unit Type 13,2.0,1.0,925.0
1404,2020-10-27,2022-10-26,2017-11-15,2020-10-26,0.0,2275.35,,2275.35,Renewed,24 month,No,720.0,False,42,T0036,0.0,7.0,True,True,2.0,3.6666666666666665,0.6666666666666666,0.6666666666666666,3.0,34.0,0.0,0.0,Unit Type 14,2.0,1.0,926.0
2501,2020-11-27,2021-05-26,2020-04-27,2020-11-26,1445.0,1450.0,0.35,5.0,Renewed,6 month,No,180.0,False,43,T0013,,,False,False,2.0,,,,,17.0,0.0,0.0,Unit Type 1,1.0,1.0,580.0
2104,2020-12-27,2021-12-26,2019-12-27,2020-12-26,1790.0,1795.0,0.28,5.0,Renewed,12 month,No,360.0,False,44,T0037,,,True,True,3.0,,,,,5.0,0.0,0.0,Unit Type 15,2.0,1.0,975.0
2207,2020-12-27,2021-12-26,2019-10-03,2020-12-26,1205.0,1300.0,7.88,95.0,Renewed,12 month,No,360.0,False,45,T0038,,,,,,,,,,6.0,0.0,0.0,Unit Type 5,1.0,1.0,620.0
2406,2020-12-27,2021-12-26,,,,2120.0,,,Did Not Renew,12 month,No,360.0,False,46,T0039,,,True,True,3.0,,,,,11.0,0.0,0.0,Unit Type 13,2.0,1.0,925.0
1403,2021-01-27,2022-01-26,2020-03-16,2021-01-26,2220.0,2235.0,0.68,15.0,Renewed,12 month,No,360.0,False,47,T0006,,,True,True,3.0,,,,,19.0,0.0,0.0,Unit Type 16,2.0,1.0,976.0
1504,2021-01-27,2022-01-26,,,,1810.0,,,Did Not Renew,12 month,No,360.0,False,48,T0040,,,False,False,3.0,,,,,9.0,0.0,0.0,Unit Type 15,2.0,1.0,975.0
2402,2021-01-27,2022-01-26,,,,1475.0,,,Did Not Renew,12 month,No,360.0,False,49,T0041,,,False,False,3.0,,,,,7.0,0.0,0.0,Unit Type 5,1.0,1.0,620.0
1706,2021-02-01,2021-07-26,2020-08-01,2021-07-26,1880.0,0.0,-100.0,-1880.0,Renewed,5 mo 26 day,Yes,176.0,False,50,T0042,,,True,True,3.0,,,,,20.0,0.0,0.0,Unit Type 13,2.0,1.0,925.0
1707,2021-02-01,2022-01-26,2021-02-01,2022-01-26,1995.0,0.0,-100.0,-1995.0,Renewed,11 mo 26 day,Yes,356.0,False,51,T0001,,,True,True,3.0,,,,,31.0,0.0,0.0,Unit Type 5,1.0,1.0,620.0
2303,2021-02-27,2022-02-26,,,,1850.0,,,Did Not Renew,12 month,No,360.0,False,52,T0043,,,True,True,4.0,5.0,1.0,1.0,1.0,6.0,0.0,0.0,Unit Type 12,2.0,1.0,925.0
1405,2021-03-27,2022-03-26,2020-04-01,2021-03-26,2170.0,2175.0,0.23,5.0,Renewed,12 month,No,360.0,False,53,T0044,,,True,True,4.0,5.0,1.0,1.0,5.0,18.0,0.0,0.0,Unit Type 14,2.0,1.0,926.0
1505,2021-03-27,2022-03-26,2020-04-01,2021-03-26,1670.0,1670.0,0.0,0.0,Renewed,12 month,No,360.0,False,54,T0045,11.47,0.0,True,True,3.0,5.0,1.0,1.0,1.0,16.0,0.0,0.0,Unit Type 15,2.0,1.0,975.0
1601,2021-03-27,2022-03-26,,,,1295.0,,,Did Not Renew,12 month,No,360.0,False,55,T0046,,,True,True,3.0,,,,,4.0,0.0,0.0,Unit Type 1,1.0,1.0,580.0
2105,2021-03-27,2022-03-26,2020-03-07,2021-03-26,1650.0,1700.0,3.03,50.0,Renewed,12 month,No,360.0,False,56,T0047,,,True,True,3.0,,,,,5.0,0.0,0.0,Unit Type 15,2.0,1.0,975.0
2504,2021-03-27,2022-03-26,,,,1770.0,,,Did Not Renew,12 month,No,360.0,False,57,T0048,,,False,True,3.0,,,,,26.0,0.0,0.0,Unit Type 15,2.0,1.0,975.0
1604,2021-04-27,2022-04-26,,,,1600.0,,,Did Not Renew,12 month,No,360.0,False,58,T0049,,,False,True,3.0,5.0,1.0,1.0,3.0,17.0,0.0,0.0,Unit Type 15,2.0,1.0,975.0
1906,2021-04-27,2022-04-26,2020-05-01,2021-04-26,1870.0,1895.0,1.34,25.0,Renewed,12 month,No,360.0,False,59,T0050,,,True,True,3.0,,,,,8.0,0.0,0.0,Unit Type 13,2.0,1.0,925.0
2005,2021-04-27,2022-04-26,,,,1695.0,,,Did Not Renew,12 month,No,360.0,False,60,T0051,7.3,2.0,True,True,3.0,,,,,2.0,0.0,0.0,Unit Type 15,2.0,1.0,975.0
2103,2021-04-27,2022-04-26,2020-05-01,2021-04-26,1820.0,1845.0,1.37,25.0,Renewed,12 month,No,360.0,False,61,T0052,,,False,True,3.0,5.0,1.0,1.0,2.0,12.0,0.0,0.0,Unit Type 12,2.0,1.0,925.0
2306,2021-04-27,2022-04-26,2020-04-27,2021-04-26,1925.0,1950.0,1.3,25.0,Renewed,12 month,No,360.0,False,62,T0012,,,False,False,2.0,4.5,0.8333333333333334,0.8333333333333334,6.0,15.0,0.0,0.0,Unit Type 13,2.0,1.0,925.0
2505,2021-04-27,2022-04-26,2020-04-09,2021-04-26,1700.0,1800.0,5.88,100.0,Renewed,12 month,No,360.0,False,63,T0053,,,True,True,2.0,,,,,6.0,0.0,0.0,Unit Type 15,2.0,1.0,975.0
2006,2021-05-01,2024-02-26,2021-05-01,2022-04-26,1950.0,0.0,-100.0,-1950.0,Renewed,33 mo 26 day,Yes,1016.0,False,64,T0054,,,True,True,3.0,,,,,2.0,0.0,0.0,Unit Type 13,2.0,1.0,925.0
1705,2021-05-27,2022-05-26,2020-06-27,2021-05-26,1630.0,1650.0,1.23,20.0,Renewed,12 month,No,360.0,False,65,T0055,,,True,True,3.0,,,,,17.0,0.0,0.0,Unit Type 15,2.0,1.0,975.0
1903,2021-05-27,2022-05-26,2020-05-27,2021-05-26,2005.0,2010.0,0.25,5.0,Renewed,12 month,No,360.0,False,66,T0015,0.0,2.0,False,False,3.0,1.0,0.0,0.0,1.0,12.0,0.0,0.0,Unit Type 12,2.0,1.0,925.0
2002,2021-05-27,2022-05-26,2020-06-01,2021-05-26,1500.0,1505.0,0.33,5.0,Renewed,12 month,No,360.0,False,67,T0056,,,True,True,3.0,,,,,1.0,0.0,0.0,Unit Type 5,1.0,1.0,620.0
2301,2021-05-27,2022-05-26,,,,1315.0,,,Did Not Renew,12 month,No,360.0,False,68,T0057,,,True,False,3.0,,,,,11.0,0.0,0.0,Unit Type 1,1.0,1.0,580.0
2404,2021-05-27,2022-05-26,2020-05-15,2021-05-26,1670.0,1680.0,0.6,10.0,Renewed,12 month,No,360.0,False,69,T0058,9.12,0.0,True,True,3.0,5.0,1.0,1.0,1.0,5.0,0.0,0.0,Unit Type 15,2.0,1.0,975.0
2501,2021-05-27,2022-05-26,2020-11-27,2021-05-26,0.0,1455.0,,1455.0,Renewed,12 month,No,360.0,False,70,T0013,,,False,False,2.0,,,,,18.0,0.0,0.0,Unit Type 1,1.0,1.0,580.0
1502,2021-06-27,2022-07-26,2020-06-27,2021-06-26,1400.0,1405.0,0.36,5.0,Renewed,13 month,No,390.0,False,71,T0059,,,True,True,3.0,,,,,9.0,0.0,0.0,Unit Type 5,1.0,1.0,620.0
2001,2021-06-27,2022-06-26,2020-06-20,2021-06-26,1280.0,1290.0,0.78,10.0,Renewed,12 month,No,360.0,False,72,T0060,,,True,True,3.0,5.0,1.0,1.0,3.0,7.0,0.0,0.0,Unit Type 1,1.0,1.0,580.0
2304,2021-06-27,2022-06-26,2021-01-12,2021-06-26,1660.0,1675.0,0.9,15.0,Renewed,12 month,No,360.0,False,73,T0061,,,True,True,3.0,,,,,6.0,0.0,0.0,Unit Type 15,2.0,1.0,975.0
2507,2021-06-27,2022-06-26,,,,1480.0,,,Did Not Renew,12 month,No,360.0,False,74,T0062,,,True,True,3.0,,,,,6.0,0.0,0.0,Unit Type 5,1.0,1.0,620.0
1701,2021-07-01,2022-06-26,2020-06-20,2021-06-26,1260.0,1270.0,0.79,10.0,Renewed,11 mo 26 day,No,356.0,False,75,T0063,,,True,True,3.0,,,,,2.0,0.0,0.0,Unit Type 1,1.0,1.0,580.0
2307,2021-07-01,2022-06-30,2021-01-01,2021-06-26,1450.0,1455.0,0.34,5.0,Renewed,12 month,No,360.0,False,76,T0064,,,True,True,3.0,,,,,,,,Unit Type 5,1.0,1.0,620.0
1803,2021-07-01,2023-03-31,2021-07-01,2022-08-26,1830.0,0.0,-100.0,-1830.0,Renewed,21 month,Yes,630.0,False,77,T0024,,,True,True,4.0,,,,,25.0,0.0,0.0,Unit Type 12,2.0,1.0,925.0
2201,2021-07-13,2022-04-26,2021-08-01,2022-04-26,1330.0,0.0,-100.0,-1330.0,Renewed,9 mo 14 day,Yes,284.0,False,78,T0065,,,True,True,3.0,,,,,3.0,0.0,0.0,Unit Type 1,1.0,1.0,580.0
1501,2021-07-27,2022-07-26,2020-07-06,2021-07-26,1250.0,1275.0,2.0,25.0,Renewed,12 month,No,360.0,False,79,T0066,,,False,False,3.0,5.0,1.0,1.0,2.0,10.0,0.0,0.0,Unit Type 1,1.0,1.0,580.0
1607,2021-07-27,2022-07-26,2020-07-19,2021-07-26,1480.0,1485.0,0.34,5.0,Renewed,12 month,No,360.0,False,80,T0067,,,False,True,3.0,5.0,1.0,1.0,1.0,4.0,0.0,0.0,Unit Type 5,1.0,1.0,620.0
2506,2021-07-27,2022-07-26,2020-07-27,2021-07-26,2150.0,2155.0,0.23,5.0,Renewed,12 month,No,360.0,False,81,T0025,,,True,True,3.0,,,,,8.0,0.0,0.0,Unit Type 13,2.0,1.0,925.0
2204,2021-08-01,2022-01-26,2020-08-01,2021-07-26,1660.0,1695.0,2.11,35.0,Renewed,5 mo 26 day,No,176.0,False,82,T0068,,,True,True,3.0,,,,,7.0,0.0,0.0,Unit Type 15,2.0,1.0,975.0
1406,2021-08-27,2022-08-26,2020-08-27,2021-08-26,0.0,2305.0,,2305.0,Renewed,12 month,No,360.0,False,83,T0030,11.48,0.0,True,True,3.0,,,,,29.0,0.0,0.0,Unit Type 16,2.0,1.0,976.0
1605,2021-08-27,2022-08-26,,,,1675.0,,,Did Not Renew,12 month,No,360.0,False,84,T0027,,,False,False,3.0,,,,,30.0,0.0,0.0,Unit Type 15,2.0,1.0,975.0
1703,2021-08-27,2023-08-26,2020-08-03,2021-08-26,1825.0,1830.0,0.27,5.0,Renewed,24 month,No,720.0,False,85,T0028,10.88,9.0,True,True,3.0,5.0,1.0,1.0,1.0,15.0,0.0,0.0,Unit Type 12,2.0,1.0,925.0
1801,2021-08-27,2022-08-26,2020-08-03,2021-08-26,1270.0,1300.0,2.36,30.0,Renewed,12 month,No,360.0,False,86,T0069,,,False,True,3.0,,,,,4.0,0.0,0.0,Unit Type 1,1.0,1.0,580.0
1804,2021-08-27,2022-08-26,2020-08-27,2021-08-26,0.0,1775.0,,1775.0,Renewed,12 month,No,360.0,False,87,T0031,11.47,0.0,False,False,3.0,5.0,1.0,1.0,1.0,5.0,0.0,0.0,Unit Type 15,2.0,1.0,975.0
2206,2021-08-27,2022-08-26,2020-08-15,2021-08-26,1915.0,1925.0,0.52,10.0,Renewed,12 month,No,360.0,False,88,T0070,10.88,4.0,True,True,3.0,5.0,1.0,1.0,1.0,8.0,0.0,0.0,Unit Type 13,2.0,1.0,925.0
2202,2021-09-01,2022-01-26,2021-06-01,2021-08-26,1470.0,1470.0,0.0,0.0,Renewed,4 mo 26 day,No,146.0,False,89,T0071,,,True,True,3.0,5.0,1.0,1.0,1.0,4.0,0.0,0.0,Unit Type 5,1.0,1.0,620.0
1402,2021-09-01,2023-08-31,2021-02-01,2022-03-26,0.0,0.0,,0.0,Renewed,24 month,Yes,720.0,False,90,T0032,,,True,True,3.0,,,,,6.0,0.0,0.0,Unit Type 9,2.0,1.0,775.0
1807,2021-09-07,2022-12-26,2021-09-01,2022-06-30,1267.0,1270.0,0.24,3.0,Renewed,15 mo 20 day,Yes,470.0,False,91,T0072,,,True,True,3.0,,,,,,,,Unit Type 5,1.0,1.0,620.0
1407,2021-09-15,2026-09-30,2020-12-27,2021-12-26,1300.0,2250.0,73.08,950.0,Renewed,60 mo 16 day,Yes,1816.0,False,92,T0038,,,,,,,,,,6.0,0.0,0.0,Unit Type 6,1.0,1.0,620.0
1114,2021-09-24,2022-07-31,2021-08-15,2022-08-26,1267.0,1267.0,0.0,0.0,Renewed,10 mo 8 day,Yes,308.0,False,93,T0073,,,True,True,4.0,,,,,,,,Unit Type 4,1.0,1.0,610.0
1504,2021-09-27,2022-03-26,2021-03-19,2021-09-26,1815.0,1820.0,0.28,5.0,Renewed,6 month,No,180.0,False,94,T0074,,,True,True,3.0,,,,,,,,Unit Type 15,2.0,1.0,975.0
2405,2021-10-01,2022-09-30,2020-09-03,2021-09-26,1745.0,1765.0,1.15,20.0,Renewed,12 month,No,360.0,False,95,T0032,,,True,True,3.0,,,,,6.0,0.0,0.0,Unit Type 15,2.0,1.0,975.0
1902,2021-10-27,2022-10-26,2020-10-01,2021-10-26,1450.0,1455.0,0.34,5.0,Renewed,12 month,No,360.0,False,96,T0034,,,True,True,3.0,,,,,16.0,0.0,0.0,Unit Type 5,1.0,1.0,620.0
2106,2021-10-27,2022-10-26,2020-10-26,2021-10-26,2000.0,2010.0,0.5,10.0,Renewed,12 month,No,360.0,False,97,T0035,,,True,True,3.0,5.0,1.0,1.0,1.0,8.0,0.0,0.0,Unit Type 13,2.0,1.0,925.0
